review,vibe
코로나 여파인지 주말 토요일 4시넘어 방문했을때 빈테이블 꽤 있었음 꿔바로우와 샹궈를 주문하여 먹었음 꿔바로우는 평범한듯하고 샹궈는 2단계 주문했는데 맵지 않게 아주 잘먹었으나 미역이 굉장히 짬,
고기 엄청 맛있었음 분위기도 나쁘지 않고 한번쯤 가볼만한 연남동 고기집 욱회비빔면에서 육회 빼고 가격낮춰서 비빔면만 있었으먄 좋겠네요 고기먹고 입가심하기 너무 좋던데 육회까진 좀 부담스러웠어요,[분위기]
마시써요,
아 일하는 분들 너무 부끄러워 하시네,
피아노 연주 완전멋지구요 음식 정말 맛나네요,[분위기]
다음에 오면 무조건 가라아케 주문 확정,
202020 이연복 쉐프 제자가 홍대에서 운영하는 곳인데 스승의 명성에 맞게 동파육이 예술이라네요,
테이블간격이 좁지만 투명칸막이 설치됨,[좁음]
돈탕반에 들어간 고기는 참 퍽퍽하다,
메밀 김파는 명란의 맛이 너무 강해서 메밀의 존재가 사라지고 있습니다,
부카케로 먹었는데도 면자체의 맛이랑 쫄깃함이 아쉬워요,
맛있고 친절하고 양많고 저렴합니다,"[친절, 가성비]"
양이 진짜 많아요 사장님이 피아노 쳐주시는데 먹으면서 들으니까 좋더라고요 맛은 무난무난,"[가성비, 분위기]"
덜 매운맛으로 먹으니 외국인친구도 잘 먹었습니다 알마니볶음밥 짱 맛있습니다 웨이팅이 좀 있습니다,[대기]
치킨이랑 카레좋아하는데 같이 먹으니까 더 맛있어요 또 갈게요,
"하지만 탕의 종류도 많고 맛있고, 직원들이 친절해서 가끔 훠궈가 먹고 싶을 때 갈 의향이 있다",[다양]
곱창집인지라 기름기가 매장 안에서도 느껴져서 부담스러웠는데 잘 먹고 왔어요 맛있었어요,
그녀는 주문을 받기 위해 모든 시간을 들인 다음 샐러드를 엉망으로 만들고 기꺼이 주요 재료를 잊어버립니다,[오래 걸림]
그냥저냥 먹을만합니다,
세번 찾아갔는데 쉬는 날도 아닌데 두번은 문닫혀있고,
특히 매니저님 잘생기셨음,
많은 사람들이 맛집이라고 해서 기대를하고 갔습니다 중국식 만두를 먹어본적이 없어서 사람들에게 호평인곳을 찾아서 갔지요 먹어본 결과 일반 비비고 냉동만두와 큰차이점을 못느낀거같아요 너무크게 기대한걸지도 모르겠지만요,
밥맛나고 반찬도 싱싱싱,
달달한 깍두기와 들깨가루를 좋아하시는 분들께 추천합니다,
초밥 은 훌륭했고 분위기와 서비스도 마찬가지로 좋았습니다,"[분위기, 친절]"
리뷰는 신뢰가 떨어집니다,
5점에 3점 딱 그정도,
가게도 나름 깔끔해 보이고 내가 기대한 만큼의 마라탕이다 갓라탕 맛있다 정신없지만 나름 친절한 느낌,"[내부 깔끔, 친절]"
다만 제가 1시 딱맞춰 갔을땐 웨이팅이 없었는데 다먹고 나올때 보니까 웨이팅이 생겼더라구요,[대기]
된장찌개는 깊은 맛이 없었고 육회 비빔냉면은 맛있다,
"아주 맛있게 먹고, 즐거운 시간",
"높지만 스프 카레에 담겨 나오는 가지, 당근, 고구마, 단호박, 고기 등 하나하나가 정성스럽고 맛나며 고슬한 밥이 정말 잘 어울립니다",
홍대가면 거의 매번 가는 일본정식집,
가성비 좋은 건강식,"[가성비, 건강]"
역시 홍대 일본 가정식이라고 하면 여기,
다양한 재료들로 즐길수 있는 매콤한 마라탕과 그와 잘 어울리는 꿔바로우와 전,[다양]
친구들이랑 소문 듣고 가봤는데 아침 9시 반부터 줄을 서있더라,
직원분들 친절합니다,[친절]
"다른 훠궈집은 보통, 홍탕 백탕인것에 비하면, 참으로 좋은 선택지 입니다",[다양]
양도 많고 맛있었네용,[가성비]
양도 푸짐하고 맛있습니다,[가성비]
대식가를 위한 1인 세트메뉴도 있다,[가성비]
너무 부정적인 내용만 써서 죄송합니다,
간장 맛이 진짜 탁월합니다,
난 쉬림프피자를 조각조각짤랐는데 새우 한조각씩 박혀있는거 보고 단골이 되기로 결심했다,[가성비]
디저트메뉴는 아쉽다,
샤브구이해서 샤브샤브 가격에 천원추가됨,
"점심 메뉴로 떡갈비 정식8,900원 이용했는데 깔끔하게 잘 나오고 떡갈비, 찌개, 반찬 모두 맛있었어요",[깔끔]
짬뽕은 인생맛집까진 아니지만 연남동에서 중국음식이 땡길때 재방문의사 있음,
밑반찬도 맛있고 주시는 전골 같은 국물도 개운하고 시원해요 홍대에서 소곱창 먹고싶을 땐 황곱으로 오세용,
3년만에 왔음,
"지하지만 엄청 깔끔하고, 싱싱하고 정갈히 구비되어 있는 마라탕 재료들이 인상적이다",[내부 깔끔]
비건으로 주문할 수 있는 마라탕가게입니다,[비건]
국밥이 훌륭합니다,
껍데기가 조금 별로였습니다,
대신 장소가 좁음,[좁음]
매장이 넓은 건 아니지만 여럿이 가서 이것저것 시켜놓고 즐길 때 더 좋은 곳,
경영인이 운영하는 가게가 아니라 요리사가 운영하는 가게,
였는데 날이 지나면 지날수록 국물이 더 진해지고 맛있어지는 곳,
살짝 비싸지만 맛있어요,[가격대 높음]
특히 가지조림이 맛있고 정갈하게 나오기 때문에 여성들이 좋아할 것 같다,
새우투어 ,
맛있음 세명이서 가면 제일 큰거 시켜야될것 같다 라지 시켰는데 애매했음,
카레가 맛있네요,
맛있음 강추,
꼬치 가격대비 비싸다고 느낌 오뎅탕 맛남 아늑함 보다 지하층 답답함 빨리 먹고 나가고 싶음,[가격대 높음]
물론 맛있다,
닭튀김 냄새남 별로,
만두 두개에 2000원인데 냉면과 함께 먹기 좋은 크기와 맛이다,
"육수도 종류 여러가지에 선택가능하고 소스도 종류많고, 넣어먹는 채소나 그외에도 다양하니 좋다",[다양]
같이 나온 가라아게도 맛있구요 가라아게는 어디서나 먹을 수 있으니 미소가지 추천드립니다 밥에 살짝 올려서 비벼먹으면 너무 맛있어요,
웨이팅이 길어서 좀 짜증나지만 팬케익한입먹으면 기다렸던 스트레스 다 날라가요,[대기]
문을 다 열어놨는데 모기가 너무 많고 바깥 소음도 심했다,
감자튀김은 따끈따끈하고 바삭했고 사워크림은 정말 진했습니다,
하이디라오 특제면은 직접 반죽을 가지고 와서 면을 뽑아주는데 꼭 시켜보세요,
여러명이서 가서 자리 넓은데 찾으려고 돌아다니다 우연히 들어갔던 식당,
간장게장은 상한 맛이 확 올라와 씹고 바로 뱉음,
점심과 저녁 메뉴는 조금의 차이가 있으니 참고,
기가막힘,
접객 꽤 좋고 인테리어 훌륭합니다,[인테리어]
음식은 충분히 만족스러웠다,
하지만 그거 먹을바엔 대창을 하나 더 시켜드시는게 좋을듯 볶음밥 맛있고 구운 김치 존맛,
홍대입구역 인근에 있는 한식 레스토랑,
음식을 좋아했습니다,
깔끔하고 조용한 식사를 원하신다면 꼭 찾아가보세요 깨끗하고 조용하고 맛있고 친절합니다,"[깔끔, 조용, 친절]"
국물 카레는 신세계,
양도 많고 서비스도 좋고 너무 좋았습니다 부모님이 만족스러워하셨어요,"[가성비, 서비스]"
여러모로 아쉬운 저녁이었습니다,
괜찮았어요 특색은 없었어요,
무조건 오픈 시간 맞춰 가는게 답인 것 같습니다,
"치킨은 치즈와 함께 매운맛, 단맛, 다양한 스타일로 주문할 수 있습니다",[다양]
"후기 좋길래 적당히 괜찮겠지 하고 찾아갔는데 맛도 너무 좋고, 가격은 이런 혜자가 없네요",[가성비]
스페셜2인세트 다 맛있고 좋은 구성이네요,
제대로된 평양냉면,
오래오래 해주시길,
"냉우동, 기본우동 추천함",
"동파육, 크림새우, 초마짬뽕, 대게살볶음밥 연잎에 쌓여서 나온 동파육은 맛은 있었는데 쫌 달고 향신료향이 강해서 금방 질렸다 크림새우 맛있는데 새우가 더 컸음 싶었다 짬뽕은 면이 약간 수타면처럼 꼬들꼬들해서 별로였는데 국물이 맛있었다",
"가격도 괜찮은편이고 제입맛에는 딱넘조아여 노상쌀국수,팟타이,나시고랭,분짜 요게기본적으로 젤맛나고요 기억안나는데무슨카레그건별로였어여똥집요리도 먹어봤었는데 안익어나왔어서 기억은 그다지 좋지않네요 그래도 기본적인건 다맛나서 만족해요",[가성비]
샐러드나 다른 것도 좀 먹어보고 싶다,
음식 맛잇구 사장님,
보통 맛,
"결론 진뜩한 돼지고기 라멘 대단한 라멘 맛은 아니지만, 진뜩해서 가득차는 느낌 특별하게 토핑을 추가하지 않아도, 무료로 업그레이드되는 토핑만으로도 배가 부르다",
튀김만두가 일품입니다,
"5 ,",
친절하구 맛있샤 만두 쪼아,
토마토 샐러드 진짜 최고네요,
깔끔한 국물이 인상적이었습니다,[깔끔]
라면 한 그릇에 대한 갈망은 항상 하루 중 언제라도 나를 위해 존재하며 이곳은 한동안 내 목록에 있었습니다,
홍대에 숨어있는 우동 맛집입니다,
외국인도 많이 옴,
작고 초라해보이는 가게지만 볶음밥에 쭈꾸미랑 소스좀 올려서 먹으면 꿀맛입니다,
톤코츠 라멘집,
"가까워서 어쩌다 가지만 진짜 불친절하고, 짜장면 탕수육 빼곤 다 맛없어요",
왜 끝맛이 쓰냐,
착한가격의 평양냉면이지만 동치미가 가미된 스타일이라 취향에 맞는분들만 방문하실것,
소소 원문 ,
"불친절한 직원, 비싼 가격에 비해 맛은 평범",
예약 하실때 네일 서비스 예약하면 네일 서베스도 받을 수 있습니다,
굿,
오래된 홍대 고기집 최대포 원래 이 자리는 아니였는데 이사온 것도 오래전이네요 초벌구이 한번 해서 나와요 고기도 괜찮고 된장밥도 맛있는데 된장밥 나오고 쌀이 된장국물을 조금 머금도록 놔뒀다가 먹으면 맛있어요,
어메가볼도 좋음,
좌석은 2인 기준으로 딱 식사할 수 있는 정도 너비인데 매장 자체 규모가 작아 다소 혼잡하며 좌석 간 통로가 협소하니 많은 짐을 가지고 방문하는 것은 무리이겠습니다,[좁음]
상상하는 그 맛이에요,
그리고 맛있습니다,
알바생분들도 다 중국 현지분들이라서 여기저기 중국어가 들려서 중국 놀러온것 같았당 ,
만두역시 속이 꽉차서 만족해요,
"모듬시켰는데, 버섯부터 다른 것도 다 좋아요",
쏘 판타스틱,
이런곳은 왜 홍대에만 몰려있는지 ,
국물도 많이 주시고 맛있습니다,
평안도 상원냉면 깔끔하고 맛있어요 첫맛은 심심한데 먹다보면 끌리네요 편육도 깔끔하구요 녹두 지짐이는 크지 않지만 끌리는 맛이 은근 매력 있어요 키오스크 주문 하면 되구요 점심 지난 시간인데 사람들이 계속 오더라구요 대기도 있었는데 운좋게 바로 먹었어요 사장님이 친절합니다,"[깔끔, 대기, 친절]"
맛은 보통 대박 친절 매장 깔끔,"[친절, 내부 깔끔]"
"앞치마 없음,죄송하지만 앞치마 없나요 물어보는데 지나가면서 쳐다도안보고 네 하고 쌩지나감친절 바라지도않는데 왜 요즘은 손님보다 알바가 싸가지가없냐 2",
대창도 냄새 안나고 탱글하고 막창도 쫄깃해요,
진한 돼지육수와 꼬들한 면을 맛보고 싶다면 부탄츄가 가성비 좋다,
마라탕이 너무 맛있어요,
블랙라면 먹었어요,
하카타 지방 정식 메뉴를 파는 곳이고 오래되었는데 일본 가정식 제대로 잘하는 곳이에요,
아니면 무조건 예약하고 가야한다는거 예약을 우선시 하는거 같다,[예약]
고상하게 간섭 시작 6,
생각했던 이상의 퀄리티,
카레크림치킨 나름 맛이 준수하며 막 어울리기 보다는 그냥 부드럽고 덜 느끼한 맛으로 즐기면 됨 너무 느끼하다고 생각되면 스프라이트 혹 맥주로도 커버가능 본인은 많이 먹는 편이라 2명이서 적당히 배부름,[가성비]
유니짜장이 매콤해서 좋음,
똠양꿍 잘 못먹는 분들 데려가면 맛있게 먹을 수 있습니다,
육수도 짜지않고 개운하고 맛 일품이며 찍어먹는 부추소스도,
국물 뽑는 능력이 발군인듯,
지만 그냥 술마시러 가기도 좋음,[반주]
이걸 알았다면 현장에서 기다리지 않았을것이다,
가격이 올라 해물볶음밥이 9천원이길래,
29분에 들어가도 칼같이 주문 받아주지만 30분지나면 얄짤없이 끊으시니 어중간하면 가서 물어보는걸 추천,
맛있게 잘 먹었습니다,
가격대비 직원들 서비스가 별로더라고요,
고기 진짜 맛있고 직원이 다 구워줘요,
"재료 신선하고, 맛있고, 무엇보다 직원들 서비스에 감동했습니다",
8시가 안 된 시간에 야키 재료가 떨어져 브레이크 걸고 해체쇼 를 시작하신 셰프 유투브에서 본것보다 더 빠르다,
느낌일뿐 고깃집가면 먹는 싱싱한 깻잎은 아니었음,
맛대갈 없음 양도 적고 ,
넘 맛있고 분위기 좋아요,
따뜻한 소바가 맛있어요,
재방문 도장 쾅,
"1인분에 14,000원 양고기와 소고기 중 고를 수 있고 섞어서 주문도 가능함",
"탕은 마라탕, 후추탕 등이 있으며 마라탕은 매운 정도를 선택할 수 있습니다",
맛있는 음식이 있는데 그만큼 칼로리가 많으니 운동하셔야 됩니다 아주 많이뷔페 할인 시간이 있어서 가격이 내려갑니다 식사시간 세시간까지 입니다,
직원들과 오랜만에 회식하러 갓습니다,
"개인적으로 마라탕에서 푹 익은 채소 좋아하는데, 점심시간 때 가니까 바빠서 빨리 요리한건지",
손님 아무도 없을때 들어가면 안됐었는데 맛도 그냥,
맛있네요 가격도 저렴하고,
그리고 직원들이 너무 불친절해요,
"훠궈와 중국식 다양한 소스를 잘 모르는 분도 친절하게 설명을 들을수 있고, 훠궈에 넣어드시는 중국식 만두까지 고급집니다",
둘이서 세트하나에 단품하나 먹으면 좋아요,
냉모밀 면발은 그닥,
다만 프라이에 치즈 듬뿍 얹은건 존맛,
낮술하기 딱좋음,
비벼먹으면 맛이 더 좋죠 넘좋당,
직원분도 친절하세요,
1 꼬치,
위치만 환상적 시간없을때 슬쩍 들리기편한 홍대입구8번출구와 가까움,
어울리지 않는 면과 소스,
맛있어요 또 가고싶은 꿀맛같은 스테이크,
포장도가능하며,
음식은 좋았는데 주차가 너무 힘들었어요,
한입 하는순간 띠용,
저렴한만큼 재료 신선도는 좀 아쉽지만 미니전 바삭하게 구워주니 같이 먹음 굿굿 이정도 가격이면 좋아유,
칼국수먹고 밥까지 죽으로 먹으면 양이 장난아닙니다,
7천원이였는데,
조금 특색있는 요리들이 맛있습니다,
서빙도 어수선하고 이 가격이면 다른 곳에서 그냥 파인다이닝 할 것 같아요,
"다른 수타는 고무같고 반죽이 고르지 않으나, 이곳은 10년째 그대로 그 반죽과 점섬 쫀듯함을 추구합니다",
줄서는 맛집이라 기대하고 갔는데 기대보다 못하네요,
퓨전 중식 느낌,
단단한 부리또,
치고 별 다섯개 드리고 갑니다,
명불허전 최고의 중국집 예약을 안하면 먹을수가 없다는게 양장피 정말 맛있어요,
그외엔 맥주와 진짜 찰떡궁합,
뻔할거 같았으나 뻔하지 않은 맛이었다,
인테리어 이쁘고 메뉴도 정갈하게 나옵니다,
잠시 하카타에 다녀온 기분,
맛좋아 칭찬해,
리코타 치즈 팬케이크 세트 커피 꿀딸리요 평일 10시55분 도착했을때 4팀 정도 웨이팅 있었고 들어가서도 좀 기다리다 음식은 11시50분쯤 나왔음,
근데 여긴 맛있어도 너무맛있어요 구워주시니까 더맛있음,
분위기 좋고 음식도 좋습니다 운 좋게도 손님으로도 직원으로도 경험이 있습니다,
깔끔하고 직원들 정말 친절합니다,
시원한 콜라가 무척이나 땡기는 구나,
맛은 별로에요,
"멘, 계란 자체의 맛은 보통 이상입니다",
10번먹으몀 라멘 한그릇 무료다,
고깃집치고 냄새나 연기가 별로 안나고 직원들이 친절하게 직접 고기를 구워줍니다,
입맛대로 조합해서 먹는 라면,
연남동 삼겹살 맛집입니다 고기 질도 좋고 쌈장과 김치가 일품입니다,
간단하게 맥주 마시기 좋음,
관리감독 안하는 점장이나 없다고 빨리 쉬고싶어서 이러는 직원이나마지막에 음식 다먹고 너무 억울해서 목막히는데 피클하고 물달라니까 피클은 원래 말을 해야 갖다준다고 합니다,
다 따로 노는 느낌이 가게,
서비스 서비스가 좋고 깔끔하게 정리된 한상 3,
추천해주신 와인과도 잘 어울립니다,
아는 맛이라서 더 설레더라구요,
5 5,
파스타 맛있어요 스테이크도 맛있어요,
아 대부분 나랑 비슷하구나 웨이팅이 있길래 왤까 싶어 가봤는데 전체 메뉴 중에 볶음밥만 맛잇었음 다들 볶음밥 먹으러 가는듯,
전체 환경을 전체적으로 사랑했습니다,
"부하직원들과 회식겸 다녀옴 한우, 고기가 상당히 만족 스러웠습니다 서비스도 괜찮았고 분위기 아늑하니 기분좋더군요 종종 갈거같습니다",
가격이 센거 빼고는 맛도있고 직원들도 친절해요 버섯이랑 마라로 먹었는데 버섯은 특유의 감칠맛이 폭발하고 마라는 살짝 맵게 했는데 알알하면서 혀를 자극하는 그 맛이 좋았어요,
고기도 무한리필이고 채소는 물론이고 칼국수도 있고 기타 요리들도 뷔페 형식으로 준비돼 있습니다 근데 몇몇 샤브샤브 재료들은 리필이 빨리 빨리 안되더라고요,
은행골은 진짜 최고의 프랜차이즈 은행골 특유의 부드러운 밥알과 달달한 밑간은 일본에서 먹었던 현지 초밥의 그 느낌을 잘 살려준다 무조건 도로초밥 하나는 시키자,
앞으론 은행골 안다닐듯,
도우도 토핑도 가격도 비싸지 않고 장소는 테이블 12개로 좁지만 괜찮다는 생각,
에 밥추가한 모습,
그건맛없으니 먹지마시오,
반 지하라 환기나 더위에는 다소 불편함이 있습니다,
계속 맴 도네요,
매운 건 안 먹어봐서 모름,
우리는 휴가 동안 두 번째로 돌아가는 것을 도울 수 없었습니다,
3시부터 5시까지는 브레이크 타임입니다,
맛있어요 친절하고,
별로 맛보다는 분위기로 승부함,
장소의 쾌적함 최고이며 직원들의 서비스도 최고이고 맛 또한 일품입니다,
언제나 맛있어요 청양크림파스타 최고 고기 최고 꿀감 최고,
무조건 돈지루를 드세요,
조선족인지 직원 마인드가 정말 꽝입니다,
연트럴파크 바로 앞인 베트남 노상식당,
일단 직원들이 불친절하고 쭈꾸미 2인분시켰는데 양이 1인분인가 할정도 적습니다,
맛좋아요,
겨울 저녁엔 예약 해야합니다,
테이블이 흔들리고 움직이는게 어래되어서 교체 할필요가 있는것이 조금위험해보이는부분 그거외에는 식사하고 메뉴에는 이다,
홋카이도에서 먹던 스아게를 여기서도 볼 수 있다는게 좋았다,
사장님 친절하시고 소주 한 잔 하기 좋아요,
음식은 달고 짭니다,
맛있는 스프 카레를 제공합니다 불향이 나는 스프가 맛이 좋습니다,
혼밥할때 좋은게 찌개류 1인분시켜도 냄비로 줘서 내가 직접끓여먹을수 있어요 혼술하기도좋고 여럿이 빈대떡에 맛걸리도 좋아요,
블랙라멘 살짝 간이 짜긴 했지만 전체적으로 맛있었어용,
저녁에 한번 가보고 싶음,
역에 가려면 그 전날부터 각오를 하고 준비해야한다,
개인적으로 마라탕에 들어가는 향신료를 그닥 좋아하지는 않는다,
우리는 그것을 정말로 즐기고 가격이 합리적입니다,
금요일은 곡보 가지고 요청하면 멋진 연주를 들을 수 있습니다,
이태원 처음 감,
하이볼 너무 달달하고 잘 마셨습니다,
너무 인기가 많아서 정신 없는 거 빼곤 좋아요,
"가격대비 생선살도 너무 얇게 떠서 먹을 게 별로 없고, 낙지의 경우는 비린내가 많이 났어요저는 비추입니다",
정말 맛있고 배부른 한끼가 될 수 있었다,
냉우동과 닭튀김 강추합니다,
왕 친절,
포크가 없어서 달라고 하거나 물 달라고 하려고 할 때 따로 벨이 없어서 직원분들 지나갈 때까지 기다림,
하나하나 너무 맛있고 개인 집게가 있어 먹기도 좋고 굉장히 위생적이였음,
국물을 좀 졸인담에 밥 볶아드심 따봉 국물찍어서 드세요 웨이팅이 있어서 밥때를 피해가시면 좋아요 단점이라고하면 갈때마다 맛이 조금씩 다른듯,
계란과 덴뿌라 튀김의 맛이 굉장했음,
"따뜻한 공간, 맛있는 음식",
대단히 불쾌한 경험을 했네요 얼마나 러프하게 일을 하면 손님 주문내역을 다 틀려먹을 수가 있나요,
면발이 탱글하고 다 먹을태까지 면탄성유지해요 그리고 셋트 추가하는 닭튀김 꼭 드셔보세요,
안 주길래 시켜먹긴 했지만,
우동 맛있다고 갔는데 새우튀김이 더 맛나네요 ,
프림처럼 생긴 국물이 맛이 이렇게 좋을 줄 누가 알았을까요,
나는 고구마와 퀴노아에 무거운 것을 가지고 있었고 그것은 천국이었습니다,
깔끔한 프렌치 부부닭 맛있음,
너무 달고 도수는 꽤 있습니다,
"난방이 좀 안되고, 화장실은 더러웠음",
맛있고 푸짐한 곱창 한 상,
엄청 맛있어요,
지인 추천으로 갔는데 맛은 있었지만 오픈시간 전에 들어갔더니 인사는 바라지도 않았지만 폰 보면서 왜 벌써 왔냐는 직원분의 표정 잊을수가 없네요,
"가라아게 새우튀김은 대만족, 치쿠와튀김은",
옥수수막걸리 최고 전도푸짐해요,
맛있으요,
정말 건강한 맛,
홍대근방에서 가장 맛있는 순대국집이네요 저녁에 머리고기 술국으로 소주한잔도 추천합니다,
"가격은 저희가 파스타 하나, 피자 하나, 오늘의 수프할인된가격 2개 계산하니 38,000원입니다싸진 않음",
주방에서 일하시는분들,
비앤비 근처에서 찾은 이 가게 진짜 맛있어요 혼자 먹어도 괜찮아요 원문 ,
도우를 뺀 토핑 가득한 포테이토피자를 먹는 느낌이었어요,
"깐쇼새우 강력추천, 크림새우는 잘 모르겠음",
열혈 직원분의 서빙도 한 몫,
"0 홍대상권, 웨이팅시간, 맛과 서비스, 가격등을 고려시 조금 아쉽다 싶습니다",
파이탄도 마찬가지로 부드럽고 구수한 농도였다,
고급진 튀김우동맛,
"안경 쓴 남자 직원 상당히 불친절함 다른 직원이 부르는 호칭으로 보아하니 매니저라고 하던데, 관리자의 태도라고 보기엔 참",
고기종류도다양하고 야채가 신선했어요,
신선합니다,
통신사 할인 1만원까지이 되어 좋았고 맘껏 먹을수 있는 후식 과일또한 신선해서 맛있었음,
다만 가격 비쌈,
밥이 딱딱함,
"우동은 6,000원, 닭튀김 세트 추가는 2,800원으로 총 8,800원에 이러한 만찬을 즐길 수 있는데, 상당히 높아진 홍대 외식 물가를 감안하면 오랜 기간 동안 이정도 가격에 퀄리티를 줄곧 유지할수 있었다는 점은 정말 칭찬받아 마땅할 것입니다",
비주얼과는 달리 맛이 아쉽습니다,
무난하게 먹기 괜찮은 이탈리안,
나는 내가 샐러드를 그렇게 많이 사랑할 수 있다고 생각하지 않았다,
"와 청포도 한알, 소고기가 들어간 장국조금 헤비이 나옵니다",
나쁘지 않았지만 블랙라멘과 비교했을때는 우선순위에서 밀린다,
맛없지는 않다,
"우동이 맛있다고해서, 줄을 겁나게 서있는 것을 많이봐서 궁금해서 방문해본 가게",
맛잇습니다,
샐러드는 좀 비리더라고요,
탕수육은 맛있었다,
진짜 맛잇습니다,
줄을 서면서 메뉴판을 자세히 읽으면 라멘 주문을 결정할 수 있다,
대신 엄청난 맛을 기대하면 안 될 듯,
상해에서 가본 적이 있는 음식점이다,
"화 태현오빠 스지수육, 소주",
현장에서 대기팀만 34팀이 훨씬 넘는데 예약을 잡는게 말이 되는지 싶다,
재방문 의사 꽤 있음,
앞으로도 쭈욱 롱런 해주셨음 좋겠어요,
역시 내 입맛은 한식인걸로,
대기가 엄청 길다,
스테이크 진짜 맛있게 잘 꾸우시더라구요 연어샐러드는 생연어임,
8그릇빨리 먹고 1그릇 더먹어여겟다,
밖에서 보는 인테리어는 관광객용 맛 그저그런 음식점같이 생겼는데 음식맛은 생각보다 맛있었뜸,
날 좋은날 야외석에서 브런치 먹기 좋아요,
빨리 물린 다음 집에 갈 것이지만 일종의 지연되었습니다,
매쉬포테이토 등 세트에 같이 나오는 메뉴들도 다 좋아요,
